Tempo Max | Perda de Pacote | Oscilação | Tempo de Trajeto Completo
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 233ms
232ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 7.8ms | Trajeto: 237ms
233ms | Perda de Pacote:1% | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 1.1ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
238ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.9ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 1.3ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.8ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 1.2ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 1.7ms | Trajeto: 236ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
252ms | Perda de Pacote:0% | 7.8ms | Trajeto: 238ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 1.4ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 3.3ms | Trajeto: 236ms
233ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
236ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 3.8ms | Trajeto: 238ms
235ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.9ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 2.4ms | Trajeto: 235ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.7ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
235ms | Perda de Pacote:0% | 0.3ms | Trajeto: 235ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.7ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
235ms | Perda de Pacote:0% | 2.3ms | Trajeto: 233ms
235ms | Perda de Pacote:0% | 3.7ms | Trajeto: 235ms
